ingredient_clean,true_manufacturer_count
APALUTAMIDE,2
APIXABAN,4
APOMORPHINE HYDROCHLORIDE,3
APRACLONIDINE HYDROCHLORIDE,2
APREMILAST,6
APREPITANT,7
APROCITENTAN,1
ARFORMOTEROL TARTRATE,16
ARGATROBAN,10
ARGININE HYDROCHLORIDE,1
ARIMOCLOMOL CITRATE,1
ARIPIPRAZOLE,24
ARIPIPRAZOLE LAUROXIL,1
ARMODAFINIL,6
ARSENIC TRIOXIDE,11
ARTEMETHER;LUMEFANTRINE,1
ARTESUNATE,1
ARTICAINE HYDROCHLORIDE;EPINEPHRINE BITARTRATE,2
ASCIMINIB HYDROCHLORIDE,1
ASCORBIC ACID,2
ASCORBIC ACID;BIOTIN;CHOLECALCIFEROL;CYANOCOBALAMIN;DEXPANTHENOL;FOLIC ACID;NIACINAMIDE;PYRIDOXINE;RIBOFLAVIN;THIAMINE;TOCOPHEROL ACETATE;VITAMIN A;VITAMIN K,1
ASCORBIC ACID;POLYETHYLENE GLYCOL 3350;POTASSIUM CHLORIDE;SODIUM ASCORBATE;SODIUM CHLORIDE;SODIUM SULFATE,2
ASENAPINE,1
ASENAPINE MALEATE,4
ASPIRIN,1
ASPIRIN;BUTALBITAL;CAFFEINE,2
ASPIRIN;BUTALBITAL;CAFFEINE;CODEINE PHOSPHATE,2
ASPIRIN;CAFFEINE;ORPHENADRINE CITRATE,1
ASPIRIN;DIPYRIDAMOLE,8
ASPIRIN;HYDROCODONE BITARTRATE,1
ASPIRIN;OXYCODONE HYDROCHLORIDE,2
ATAZANAVIR SULFATE,5
ATAZANAVIR SULFATE;COBICISTAT,1
ATENOLOL,10
ATENOLOL;CHLORTHALIDONE,6
ATOGEPANT,1
ATOMOXETINE HYDROCHLORIDE,8
ATORVASTATIN CALCIUM,24
ATORVASTATIN CALCIUM;EZETIMIBE,1
ATOVAQUONE,8
ATOVAQUONE;PROGUANIL HYDROCHLORIDE,3
ATRACURIUM BESYLATE,3
ATRASENTAN HYDROCHLORIDE,1
ATROPINE SULFATE,14
ATROPINE SULFATE;DIFENOXIN HYDROCHLORIDE,1
ATROPINE SULFATE;DIPHENOXYLATE HYDROCHLORIDE,9
ATROPINE;PRALIDOXIME CHLORIDE,1
AURANOFIN,1
AVACINCAPTAD PEGOL SODIUM,1
AVACOPAN,1
AVANAFIL,2
AVAPRITINIB,1
AVATROMBOPAG MALEATE,1
AVIBACTAM SODIUM;AZTREONAM,1
AVIBACTAM SODIUM;CEFTAZIDIME,1
AVOBENZONE;ECAMSULE;OCTOCRYLENE,1
AVOBENZONE;ECAMSULE;OCTOCRYLENE;TITANIUM DIOXIDE,1
